time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-16.0857,-76.044199,,,,,,,,,,,,,,,,,,
,-16.0862,-76.0434,,,,,,,,,,,,,,,,,,
,-16.0865,-76.042199,,,,,,,,,,,,,,,,,,
,-16.0868,-76.0412,,,,,,,,,,,,,,,,,,
,-16.0872,-76.04,,,,,,,,,,,,,,,,,,
,-16.0874,-76.038799,,,,,,,,,,,,,,,,,,
,-16.0876,-76.0375,,,,,,,,,,,,,,,,,,
,-16.088,-76.0362,,,,,,,,,,,,,,,,,,
,-16.0882,-76.0349,,,,,,,,,,,,,,,,,,
,-16.0887,-76.0339,,,,,,,,,,,,,,,,,,
,-16.0892,-76.0328,,,,,,,,,,,,,,,,,,
,-16.0897,-76.031799,,,,,,,,,,,,,,,,,,
,-16.09,-76.0308,,,,,,,,,,,,,,,,,,
,-16.0902,-76.0298,,,,,,,,,,,,,,,,,,
,-16.0904,-76.0287,,,,,,,,,,,,,,,,,,
,-16.0908,-76.0278,,,,,,,,,,,,,,,,,,
,-16.091,-76.0269,,,,,,,,,,,,,,,,,,
,-16.0911,-76.026,,,,,,,,,,,,,,,,,,
,-15.2098,-77.306199,,,,,,,,,,,,,,,,,,
,-15.2114,-77.3048,,,,,,,,,,,,,,,,,,
,-15.2129,-77.3032,,,,,,,,,,,,,,,,,,
,-15.2145,-77.3016,,,,,,,,,,,,,,,,,,
,-15.1366,-77.3061,,,,,,,,,,,,,,,,,,
,-15.2162,-77.299699,,,,,,,,,,,,,,,,,,
,-15.2178,-77.2978,,,,,,,,,,,,,,,,,,
,-15.1396,-77.302399,,,,,,,,,,,,,,,,,,
,-15.2193,-77.295799,,,,,,,,,,,,,,,,,,
,-15.1408,-77.300599,,,,,,,,,,,,,,,,,,
,-15.221,-77.2939,,,,,,,,,,,,,,,,,,
,-15.2228,-77.2919,,,,,,,,,,,,,,,,,,
,-15.1435,-77.296699,,,,,,,,,,,,,,,,,,
,-15.2248,-77.289899,,,,,,,,,,,,,,,,,,
,-15.1448,-77.294899,,,,,,,,,,,,,,,,,,
,-15.2266,-77.287699,,,,,,,,,,,,,,,,,,
,-15.1462,-77.292899,,,,,,,,,,,,,,,,,,
,-15.2284,-77.2857,,,,,,,,,,,,,,,,,,
,-15.2301,-77.2837,,,,,,,,,,,,,,,,,,
,-15.232,-77.2816,,,,,,,,,,,,,,,,,,
,-15.1501,-77.2878,,,,,,,,,,,,,,,,,,
,-15.2338,-77.279499,,,,,,,,,,,,,,,,,,
,-15.1514,-77.285599,,,,,,,,,,,,,,,,,,
,-15.2357,-77.2774,,,,,,,,,,,,,,,,,,
,-15.1546,-77.2817,,,,,,,,,,,,,,,,,,
,-15.2391,-77.273199,,,,,,,,,,,,,,,,,,
,-15.1564,-77.2798,,,,,,,,,,,,,,,,,,
,-15.1582,-77.277899,,,,,,,,,,,,,,,,,,
,-15.243,-77.269099,,,,,,,,,,,,,,,,,,
,-15.1601,-77.2758,,,,,,,,,,,,,,,,,,
,-15.2448,-77.2672,,,,,,,,,,,,,,,,,,
,-15.1621,-77.273599,,,,,,,,,,,,,,,,,,
,-15.2465,-77.2653,,,,,,,,,,,,,,,,,,
,-14.975,-77.3043,,,,,,,,,,,,,,,,,,
,-15.2481,-77.2633,,,,,,,,,,,,,,,,,,
,-15.1661,-77.2695,,,,,,,,,,,,,,,,,,
,-15.2497,-77.261199,,,,,,,,,,,,,,,,,,
,-14.976,-77.3011,,,,,,,,,,,,,,,,,,
,-15.1679,-77.2674,,,,,,,,,,,,,,,,,,
,-15.2511,-77.2592,,,,,,,,,,,,,,,,,,
,-14.9772,-77.298,,,,,,,,,,,,,,,,,,
,-15.17,-77.265699,,,,,,,,,,,,,,,,,,
,-14.9785,-77.295,,,,,,,,,,,,,,,,,,
,-15.1719,-77.263899,,,,,,,,,,,,,,,,,,
,-14.9799,-77.291999,,,,,,,,,,,,,,,,,,
,-15.2538,-77.2556,,,,,,,,,,,,,,,,,,
,-15.174,-77.262,,,,,,,,,,,,,,,,,,
,-14.9811,-77.288799,,,,,,,,,,,,,,,,,,
,-15.255,-77.254,,,,,,,,,,,,,,,,,,
,-15.176,-77.259999,,,,,,,,,,,,,,,,,,
,-15.2561,-77.252599,,,,,,,,,,,,,,,,,,
