time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-14.984861,-77.4008,,,,,,,,,,,,,,,,,,
,-14.984861,-77.401389,,,,,,,,,,,,,,,,,,
,-14.9832,-77.404699,,,,,,,,,,,,,,,,,,
,-14.980694,-77.406389,,,,,,,,,,,,,,,,,,
,-14.982,-77.4069,,,,,,,,,,,,,,,,,,
,-14.9809,-77.408999,,,,,,,,,,,,,,,,,,
,-14.9929,-77.41,,,,,,,,,,,,,,,,,,
,-14.9794,-77.4114,,,,,,,,,,,,,,,,,,
,-14.9952,-77.4125,,,,,,,,,,,,,,,,,,
,-14.996,-77.4137,,,,,,,,,,,,,,,,,,
,-14.9961,-77.4141,,,,,,,,,,,,,,,,,,
,-14.9971,-77.4146,,,,,,,,,,,,,,,,,,
,-14.999583,-77.417222,,,,,,,,,,,,,,,,,,
,-14.9979,-77.4189,,,,,,,,,,,,,,,,,,
,-14.9976,-77.420099,,,,,,,,,,,,,,,,,,
,-14.9776,-77.4209,,,,,,,,,,,,,,,,,,
,-14.9976,-77.422599,,,,,,,,,,,,,,,,,,
,-14.9768,-77.423099,,,,,,,,,,,,,,,,,,
,-14.9977,-77.4238,,,,,,,,,,,,,,,,,,
,-14.998,-77.424899,,,,,,,,,,,,,,,,,,
,-14.9757,-77.425599,,,,,,,,,,,,,,,,,,
,-14.962361,-77.426944,,,,,,,,,,,,,,,,,,
,-14.975,-77.427799,,,,,,,,,,,,,,,,,,
,-14.9809,-77.429199,,,,,,,,,,,,,,,,,,
,-14.960417,-77.429444,,,,,,,,,,,,,,,,,,
,-14.9968,-77.4297,,,,,,,,,,,,,,,,,,
,-14.9741,-77.4302,,,,,,,,,,,,,,,,,,
,-14.9813,-77.4315,,,,,,,,,,,,,,,,,,
,-14.9965,-77.4315,,,,,,,,,,,,,,,,,,
,-14.9997,-77.4322,,,,,,,,,,,,,,,,,,
,-14.9733,-77.4323,,,,,,,,,,,,,,,,,,
,-14.9816,-77.432799,,,,,,,,,,,,,,,,,,
,-14.981,-77.433699,,,,,,,,,,,,,,,,,,
,-14.9802,-77.434,,,,,,,,,,,,,,,,,,
,-14.98,-77.434199,,,,,,,,,,,,,,,,,,
,-14.9727,-77.434599,,,,,,,,,,,,,,,,,,
,-14.9988,-77.4352,,,,,,,,,,,,,,,,,,
,-14.9955,-77.435299,,,,,,,,,,,,,,,,,,
,-14.9805,-77.4357,,,,,,,,,,,,,,,,,,
,-14.9718,-77.4368,,,,,,,,,,,,,,,,,,
,-14.9981,-77.437599,,,,,,,,,,,,,,,,,,
,-14.9794,-77.437799,,,,,,,,,,,,,,,,,,
,-14.9952,-77.4379,,,,,,,,,,,,,,,,,,
,-14.9712,-77.438499,,,,,,,,,,,,,,,,,,
,-14.987361,-77.438611,,,,,,,,,,,,,,,,,,
,-14.9973,-77.4399,,,,,,,,,,,,,,,,,,
,-14.9707,-77.4402,,,,,,,,,,,,,,,,,,
,-14.9763,-77.4402,,,,,,,,,,,,,,,,,,
,-14.995,-77.4402,,,,,,,,,,,,,,,,,,
,-14.986806,-77.440833,,,,,,,,,,,,,,,,,,
,-14.9738,-77.4413,,,,,,,,,,,,,,,,,,
,-14.9721,-77.4425,,,,,,,,,,,,,,,,,,
,-14.9701,-77.4427,,,,,,,,,,,,,,,,,,
,-14.9951,-77.4427,,,,,,,,,,,,,,,,,,
,-14.9965,-77.4427,,,,,,,,,,,,,,,,,,
,-14.98625,-77.443611,,,,,,,,,,,,,,,,,,
,-14.97,-77.443699,,,,,,,,,,,,,,,,,,
,-14.9695,-77.4443,,,,,,,,,,,,,,,,,,
,-14.995,-77.4449,,,,,,,,,,,,,,,,,,
,-14.996,-77.445499,,,,,,,,,,,,,,,,,,
,-14.9692,-77.4467,,,,,,,,,,,,,,,,,,
,-14.995,-77.4477,,,,,,,,,,,,,,,,,,
,-14.9954,-77.4481,,,,,,,,,,,,,,,,,,
,-14.985694,-77.449167,,,,,,,,,,,,,,,,,,
,-14.9948,-77.4503,,,,,,,,,,,,,,,,,,
,-14.9683,-77.450699,,,,,,,,,,,,,,,,,,
,-14.995,-77.452,,,,,,,,,,,,,,,,,,
,-14.9678,-77.4527,,,,,,,,,,,,,,,,,,
,-14.9942,-77.4527,,,,,,,,,,,,,,,,,,
