time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-15.04,-76.925,,,,,,,,,,,,,,,,,,
,-15.0378,-76.9257,,,,,,,,,,,,,,,,,,
,-15.0352,-76.9266,,,,,,,,,,,,,,,,,,
,-15.0322,-76.927599,,,,,,,,,,,,,,,,,,
,-15.0213,-76.9306,,,,,,,,,,,,,,,,,,
,-15.0186,-76.931699,,,,,,,,,,,,,,,,,,
,-15.0158,-76.9325,,,,,,,,,,,,,,,,,,
,-15.0134,-76.9332,,,,,,,,,,,,,,,,,,
,-15.0111,-76.9339,,,,,,,,,,,,,,,,,,
,-15.0084,-76.934599,,,,,,,,,,,,,,,,,,
,-15.0053,-76.935499,,,,,,,,,,,,,,,,,,
,-15.003,-76.9363,,,,,,,,,,,,,,,,,,
,-15.0007,-76.9368,,,,,,,,,,,,,,,,,,
,-15.256,-76.871699,,,,,,,,,,,,,,,,,,
,-15.2537,-76.8724,,,,,,,,,,,,,,,,,,
,-15.2536,-76.8729,,,,,,,,,,,,,,,,,,
,-15.2532,-76.872799,,,,,,,,,,,,,,,,,,
,-15.2521,-76.873299,,,,,,,,,,,,,,,,,,
,-15.2513,-76.8748,,,,,,,,,,,,,,,,,,
,-15.2515,-76.876399,,,,,,,,,,,,,,,,,,
,-15.2516,-76.8772,,,,,,,,,,,,,,,,,,
,-15.2515,-76.8781,,,,,,,,,,,,,,,,,,
,-15.2512,-76.8797,,,,,,,,,,,,,,,,,,
,-15.2496,-76.880699,,,,,,,,,,,,,,,,,,
,-15.248,-76.8818,,,,,,,,,,,,,,,,,,
,-15.2463,-76.8834,,,,,,,,,,,,,,,,,,
,-15.294,-76.909299,,,,,,,,,,,,,,,,,,
,-15.2918,-76.9094,,,,,,,,,,,,,,,,,,
,-15.2916,-76.909499,,,,,,,,,,,,,,,,,,
,-15.2915,-76.909299,,,,,,,,,,,,,,,,,,
,-15.2908,-76.908799,,,,,,,,,,,,,,,,,,
,-15.2892,-76.909499,,,,,,,,,,,,,,,,,,
,-15.2891,-76.9107,,,,,,,,,,,,,,,,,,
,-15.2891,-76.9109,,,,,,,,,,,,,,,,,,
,-15.2888,-76.9116,,,,,,,,,,,,,,,,,,
,-15.2884,-76.9126,,,,,,,,,,,,,,,,,,
,-15.288,-76.913799,,,,,,,,,,,,,,,,,,
,-15.2876,-76.914899,,,,,,,,,,,,,,,,,,
,-15.2872,-76.9159,,,,,,,,,,,,,,,,,,
,-15.2866,-76.9168,,,,,,,,,,,,,,,,,,
,-15.2856,-76.917899,,,,,,,,,,,,,,,,,,
,-15.2842,-76.9182,,,,,,,,,,,,,,,,,,
,-15.326,-76.9105,,,,,,,,,,,,,,,,,,
,-15.3241,-76.910199,,,,,,,,,,,,,,,,,,
,-15.3209,-76.909299,,,,,,,,,,,,,,,,,,
,-15.3191,-76.908999,,,,,,,,,,,,,,,,,,
,-15.3173,-76.908599,,,,,,,,,,,,,,,,,,
,-15.3153,-76.9082,,,,,,,,,,,,,,,,,,
,-15.3135,-76.9078,,,,,,,,,,,,,,,,,,
,-15.3096,-76.9069,,,,,,,,,,,,,,,,,,
,-15.3075,-76.9067,,,,,,,,,,,,,,,,,,
,-15.3053,-76.9067,,,,,,,,,,,,,,,,,,
,-15.3032,-76.9066,,,,,,,,,,,,,,,,,,
,-15.301,-76.9066,,,,,,,,,,,,,,,,,,
,-15.2985,-76.9064,,,,,,,,,,,,,,,,,,
,-15.2967,-76.906,,,,,,,,,,,,,,,,,,
,-15.295,-76.905599,,,,,,,,,,,,,,,,,,
,-15.2928,-76.905399,,,,,,,,,,,,,,,,,,
,-15.2906,-76.905599,,,,,,,,,,,,,,,,,,
,-15.2889,-76.905899,,,,,,,,,,,,,,,,,,
,-15.2871,-76.9064,,,,,,,,,,,,,,,,,,
,-15.2788,-76.909699,,,,,,,,,,,,,,,,,,
,-15.2762,-76.911,,,,,,,,,,,,,,,,,,
,-15.2719,-76.913,,,,,,,,,,,,,,,,,,
,-15.2695,-76.9141,,,,,,,,,,,,,,,,,,
,-15.2673,-76.915,,,,,,,,,,,,,,,,,,
,-15.2649,-76.916499,,,,,,,,,,,,,,,,,,
,-15.2627,-76.9176,,,,,,,,,,,,,,,,,,
,-15.2604,-76.919199,,,,,,,,,,,,,,,,,,
,-15.2583,-76.9202,,,,,,,,,,,,,,,,,,
,-15.2513,-76.9246,,,,,,,,,,,,,,,,,,
,-15.4876,-75.916699,,,,,,,,,,,,,,,,,,
,-15.4865,-75.916699,,,,,,,,,,,,,,,,,,
,-15.4853,-75.9166,,,,,,,,,,,,,,,,,,
,-15.4842,-75.916299,,,,,,,,,,,,,,,,,,
,-15.4809,-75.9157,,,,,,,,,,,,,,,,,,
,-15.4799,-75.915599,,,,,,,,,,,,,,,,,,
,-15.4773,-75.9151,,,,,,,,,,,,,,,,,,
,-15.475,-75.9146,,,,,,,,,,,,,,,,,,
,-15.4741,-75.9146,,,,,,,,,,,,,,,,,,
,-15.4733,-75.914699,,,,,,,,,,,,,,,,,,
,-15.471,-75.9144,,,,,,,,,,,,,,,,,,
,-15.4703,-75.9143,,,,,,,,,,,,,,,,,,
,-15.469,-75.9141,,,,,,,,,,,,,,,,,,
,-15.4684,-75.9142,,,,,,,,,,,,,,,,,,
,-15.467,-75.913799,,,,,,,,,,,,,,,,,,
,-15.4669,-75.9139,,,,,,,,,,,,,,,,,,
,-15.4664,-75.9143,,,,,,,,,,,,,,,,,,
,-15.466,-75.914899,,,,,,,,,,,,,,,,,,
,-15.4657,-75.9152,,,,,,,,,,,,,,,,,,
,-15.4655,-75.915599,,,,,,,,,,,,,,,,,,
,-15.4652,-75.916,,,,,,,,,,,,,,,,,,
,-15.4652,-75.916299,,,,,,,,,,,,,,,,,,
,-15.4652,-75.9169,,,,,,,,,,,,,,,,,,
,-15.5887,-75.826599,,,,,,,,,,,,,,,,,,
,-15.5891,-75.8242,,,,,,,,,,,,,,,,,,
,-15.59,-75.8229,,,,,,,,,,,,,,,,,,
,-15.59,-75.8201,,,,,,,,,,,,,,,,,,
,-15.5929,-75.818499,,,,,,,,,,,,,,,,,,
,-15.5938,-75.8175,,,,,,,,,,,,,,,,,,
,-15.5992,-75.816199,,,,,,,,,,,,,,,,,,
,-15.7225,-75.7298,,,,,,,,,,,,,,,,,,
,-15.7221,-75.728099,,,,,,,,,,,,,,,,,,
,-15.722,-75.7262,,,,,,,,,,,,,,,,,,
,-15.7219,-75.7246,,,,,,,,,,,,,,,,,,
,-15.7217,-75.722699,,,,,,,,,,,,,,,,,,
,-15.7215,-75.721099,,,,,,,,,,,,,,,,,,
,-15.7197,-75.7156,,,,,,,,,,,,,,,,,,
,-15.7192,-75.713799,,,,,,,,,,,,,,,,,,
,-15.7184,-75.7117,,,,,,,,,,,,,,,,,,
,-15.7176,-75.710199,,,,,,,,,,,,,,,,,,
,-15.7168,-75.708,,,,,,,,,,,,,,,,,,
,-15.7152,-75.7047,,,,,,,,,,,,,,,,,,
,-15.7144,-75.702999,,,,,,,,,,,,,,,,,,
,-15.7137,-75.7013,,,,,,,,,,,,,,,,,,
,-15.7127,-75.699599,,,,,,,,,,,,,,,,,,
,-15.7119,-75.698199,,,,,,,,,,,,,,,,,,
,-15.7112,-75.6969,,,,,,,,,,,,,,,,,,
,-15.7105,-75.695499,,,,,,,,,,,,,,,,,,
,-15.7089,-75.692799,,,,,,,,,,,,,,,,,,
,-15.7082,-75.6917,,,,,,,,,,,,,,,,,,
,-15.7074,-75.6906,,,,,,,,,,,,,,,,,,
,-15.7067,-75.6895,,,,,,,,,,,,,,,,,,
,-15.7061,-75.688499,,,,,,,,,,,,,,,,,,
,-15.7053,-75.6875,,,,,,,,,,,,,,,,,,
,-15.7036,-75.6854,,,,,,,,,,,,,,,,,,
,-15.7021,-75.6836,,,,,,,,,,,,,,,,,,
,-15.7005,-75.681899,,,,,,,,,,,,,,,,,,
,-15.6997,-75.6811,,,,,,,,,,,,,,,,,,
,-15.6988,-75.680299,,,,,,,,,,,,,,,,,,
,-15.6979,-75.679399,,,,,,,,,,,,,,,,,,
,-15.6967,-75.678299,,,,,,,,,,,,,,,,,,
,-15.2507,-77.375,,,,,,,,,,,,,,,,,,
,-15.2492,-77.3759,,,,,,,,,,,,,,,,,,
,-15.2477,-77.376899,,,,,,,,,,,,,,,,,,
,-15.2463,-77.3781,,,,,,,,,,,,,,,,,,
,-15.2448,-77.3791,,,,,,,,,,,,,,,,,,
,-15.2433,-77.3804,,,,,,,,,,,,,,,,,,
,-15.2418,-77.381399,,,,,,,,,,,,,,,,,,
,-15.2403,-77.3826,,,,,,,,,,,,,,,,,,
,-15.239,-77.383699,,,,,,,,,,,,,,,,,,
,-15.2376,-77.384799,,,,,,,,,,,,,,,,,,
,-15.2362,-77.386,,,,,,,,,,,,,,,,,,
,-15.2348,-77.3872,,,,,,,,,,,,,,,,,,
,-15.2335,-77.387999,,,,,,,,,,,,,,,,,,
,-15.2322,-77.388899,,,,,,,,,,,,,,,,,,
,-15.2308,-77.3901,,,,,,,,,,,,,,,,,,
,-15.228,-77.3922,,,,,,,,,,,,,,,,,,
,-15.2267,-77.3933,,,,,,,,,,,,,,,,,,
,-15.2255,-77.394299,,,,,,,,,,,,,,,,,,
,-15.2243,-77.3954,,,,,,,,,,,,,,,,,,
,-15.2231,-77.396599,,,,,,,,,,,,,,,,,,
,-15.2219,-77.3976,,,,,,,,,,,,,,,,,,
,-15.2205,-77.3989,,,,,,,,,,,,,,,,,,
,-15.2194,-77.399999,,,,,,,,,,,,,,,,,,
,-15.2183,-77.4012,,,,,,,,,,,,,,,,,,
,-15.2172,-77.4021,,,,,,,,,,,,,,,,,,
,-15.2161,-77.403,,,,,,,,,,,,,,,,,,
,-15.2149,-77.404299,,,,,,,,,,,,,,,,,,
,-15.2138,-77.4057,,,,,,,,,,,,,,,,,,
,-15.2126,-77.406999,,,,,,,,,,,,,,,,,,
,-15.2112,-77.4085,,,,,,,,,,,,,,,,,,
,-15.2098,-77.4098,,,,,,,,,,,,,,,,,,
,-15.2074,-77.4126,,,,,,,,,,,,,,,,,,
,-15.2061,-77.413599,,,,,,,,,,,,,,,,,,
,-15.2049,-77.4146,,,,,,,,,,,,,,,,,,
,-15.2037,-77.415599,,,,,,,,,,,,,,,,,,
,-15.2025,-77.4166,,,,,,,,,,,,,,,,,,
,-15.2001,-77.419199,,,,,,,,,,,,,,,,,,
,-15.1988,-77.4207,,,,,,,,,,,,,,,,,,
,-15.1975,-77.422199,,,,,,,,,,,,,,,,,,
,-15.1963,-77.4236,,,,,,,,,,,,,,,,,,
,-15.1951,-77.424899,,,,,,,,,,,,,,,,,,
,-15.194,-77.4261,,,,,,,,,,,,,,,,,,
,-15.1929,-77.4273,,,,,,,,,,,,,,,,,,
,-15.1917,-77.428699,,,,,,,,,,,,,,,,,,
,-15.1903,-77.43,,,,,,,,,,,,,,,,,,
,-15.189,-77.4313,,,,,,,,,,,,,,,,,,
,-15.1875,-77.432999,,,,,,,,,,,,,,,,,,
,-15.1861,-77.4345,,,,,,,,,,,,,,,,,,
,-15.1845,-77.4361,,,,,,,,,,,,,,,,,,
,-15.1832,-77.4374,,,,,,,,,,,,,,,,,,
,-15.1817,-77.4388,,,,,,,,,,,,,,,,,,
,-15.1803,-77.4402,,,,,,,,,,,,,,,,,,
,-15.1789,-77.4415,,,,,,,,,,,,,,,,,,
,-15.1774,-77.4431,,,,,,,,,,,,,,,,,,
,-15.1759,-77.4447,,,,,,,,,,,,,,,,,,
,-15.1744,-77.4461,,,,,,,,,,,,,,,,,,
,-15.1731,-77.447799,,,,,,,,,,,,,,,,,,
,-15.1718,-77.4495,,,,,,,,,,,,,,,,,,
,-15.1706,-77.450899,,,,,,,,,,,,,,,,,,
,-15.1693,-77.452299,,,,,,,,,,,,,,,,,,
,-15.1678,-77.4536,,,,,,,,,,,,,,,,,,
,-15.1649,-77.4565,,,,,,,,,,,,,,,,,,
,-15.1634,-77.458,,,,,,,,,,,,,,,,,,
,-15.1619,-77.4597,,,,,,,,,,,,,,,,,,
,-15.1603,-77.4612,,,,,,,,,,,,,,,,,,
,-15.1586,-77.4626,,,,,,,,,,,,,,,,,,
,-15.157,-77.464099,,,,,,,,,,,,,,,,,,
,-15.1555,-77.4657,,,,,,,,,,,,,,,,,,
,-15.1538,-77.4669,,,,,,,,,,,,,,,,,,
,-15.1521,-77.4685,,,,,,,,,,,,,,,,,,
,-15.1505,-77.4699,,,,,,,,,,,,,,,,,,
,-15.149,-77.471499,,,,,,,,,,,,,,,,,,
,-15.1457,-77.4746,,,,,,,,,,,,,,,,,,
,-15.144,-77.475799,,,,,,,,,,,,,,,,,,
,-15.1423,-77.4769,,,,,,,,,,,,,,,,,,
,-15.1407,-77.4782,,,,,,,,,,,,,,,,,,
,-15.1392,-77.4793,,,,,,,,,,,,,,,,,,
