time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-3.669,-80.957,,,,,,,,,,,,,,,,,,
,-3.6511,-80.954099,,,,,,,,,,,,,,,,,,
,-3.6444,-80.954,,,,,,,,,,,,,,,,,,
,-3.6377,-80.954299,,,,,,,,,,,,,,,,,,
,-3.6312,-80.953199,,,,,,,,,,,,,,,,,,
,-3.6248,-80.9526,,,,,,,,,,,,,,,,,,
,-3.6187,-80.9508,,,,,,,,,,,,,,,,,,
,-3.6061,-80.9499,,,,,,,,,,,,,,,,,,
,-3.5997,-80.949799,,,,,,,,,,,,,,,,,,
,-3.5933,-80.949099,,,,,,,,,,,,,,,,,,
,-3.5871,-80.948199,,,,,,,,,,,,,,,,,,
,-3.5808,-80.9472,,,,,,,,,,,,,,,,,,
,-3.5746,-80.946199,,,,,,,,,,,,,,,,,,
,-3.5716,-80.946399,,,,,,,,,,,,,,,,,,
,-3.5755,-80.948199,,,,,,,,,,,,,,,,,,
,-3.5762,-80.948199,,,,,,,,,,,,,,,,,,
,-3.5737,-80.948399,,,,,,,,,,,,,,,,,,
,-3.5982,-80.9422,,,,,,,,,,,,,,,,,,
,-3.6045,-80.941199,,,,,,,,,,,,,,,,,,
,-3.6109,-80.942,,,,,,,,,,,,,,,,,,
,-3.6172,-80.9416,,,,,,,,,,,,,,,,,,
,-3.6235,-80.940699,,,,,,,,,,,,,,,,,,
,-3.6301,-80.939799,,,,,,,,,,,,,,,,,,
,-3.6437,-80.9425,,,,,,,,,,,,,,,,,,
,-3.6566,-80.947499,,,,,,,,,,,,,,,,,,
,-3.6633,-80.948199,,,,,,,,,,,,,,,,,,
,-3.6698,-80.949,,,,,,,,,,,,,,,,,,
,-3.6763,-80.948899,,,,,,,,,,,,,,,,,,
,-3.6806,-80.948699,,,,,,,,,,,,,,,,,,
,-3.6769,-80.949599,,,,,,,,,,,,,,,,,,
,-3.6755,-80.951599,,,,,,,,,,,,,,,,,,
,-3.6744,-80.9529,,,,,,,,,,,,,,,,,,
,-3.6591,-80.959299,,,,,,,,,,,,,,,,,,
,-3.6529,-80.959099,,,,,,,,,,,,,,,,,,
,-3.6468,-80.9587,,,,,,,,,,,,,,,,,,
,-3.6407,-80.957699,,,,,,,,,,,,,,,,,,
,-3.6348,-80.9562,,,,,,,,,,,,,,,,,,
,-3.6289,-80.9547,,,,,,,,,,,,,,,,,,
,-3.6228,-80.9547,,,,,,,,,,,,,,,,,,
,-3.6167,-80.954099,,,,,,,,,,,,,,,,,,
,-3.6109,-80.9538,,,,,,,,,,,,,,,,,,
,-3.6048,-80.9529,,,,,,,,,,,,,,,,,,
,-3.5987,-80.952099,,,,,,,,,,,,,,,,,,
,-3.5924,-80.951399,,,,,,,,,,,,,,,,,,
,-3.5918,-80.951799,,,,,,,,,,,,,,,,,,
,-3.5953,-80.953199,,,,,,,,,,,,,,,,,,
,-3.5979,-80.953199,,,,,,,,,,,,,,,,,,
