time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-5.0328,-81.382,,,,,,,,,,,,,,,,,,
,-5.0051,-81.3809,,,,,,,,,,,,,,,,,,
,-5.0217,-81.381399,,,,,,,,,,,,,,,,,,
,-5.0281,-81.3818,,,,,,,,,,,,,,,,,,
,-5.0345,-81.382,,,,,,,,,,,,,,,,,,
,-5.0407,-81.3831,,,,,,,,,,,,,,,,,,
,-5.0469,-81.3838,,,,,,,,,,,,,,,,,,
,-5.0531,-81.384,,,,,,,,,,,,,,,,,,
,-5.0592,-81.383899,,,,,,,,,,,,,,,,,,
,-5.0654,-81.3844,,,,,,,,,,,,,,,,,,
,-5.0715,-81.3844,,,,,,,,,,,,,,,,,,
,-5.0776,-81.3847,,,,,,,,,,,,,,,,,,
,-5.0838,-81.385299,,,,,,,,,,,,,,,,,,
,-5.0899,-81.3852,,,,,,,,,,,,,,,,,,
,-5.0961,-81.386199,,,,,,,,,,,,,,,,,,
,-5.1023,-81.3865,,,,,,,,,,,,,,,,,,
,-5.1085,-81.3869,,,,,,,,,,,,,,,,,,
,-5.109,-81.386199,,,,,,,,,,,,,,,,,,
,-5.1045,-81.385899,,,,,,,,,,,,,,,,,,
,-5.1021,-81.386,,,,,,,,,,,,,,,,,,
,-5.0999,-81.386199,,,,,,,,,,,,,,,,,,
,-5.0977,-81.3868,,,,,,,,,,,,,,,,,,
,-5.0957,-81.3877,,,,,,,,,,,,,,,,,,
,-5.1176,-81.3872,,,,,,,,,,,,,,,,,,
,-5.1174,-81.3872,,,,,,,,,,,,,,,,,,
,-5.1205,-81.3868,,,,,,,,,,,,,,,,,,
,-5.1219,-81.3872,,,,,,,,,,,,,,,,,,
,-5.1212,-81.387099,,,,,,,,,,,,,,,,,,
,-5.12,-81.387,,,,,,,,,,,,,,,,,,
,-5.1184,-81.387499,,,,,,,,,,,,,,,,,,
,-5.117,-81.388199,,,,,,,,,,,,,,,,,,
,-5.1157,-81.387999,,,,,,,,,,,,,,,,,,
,-5.1158,-81.3867,,,,,,,,,,,,,,,,,,
,-5.1155,-81.3863,,,,,,,,,,,,,,,,,,
,-5.1129,-81.3865,,,,,,,,,,,,,,,,,,
,-5.1104,-81.3865,,,,,,,,,,,,,,,,,,
,-5.1076,-81.387,,,,,,,,,,,,,,,,,,
,-5.1045,-81.3869,,,,,,,,,,,,,,,,,,
,-5.0913,-81.3847,,,,,,,,,,,,,,,,,,
,-5.0902,-81.385299,,,,,,,,,,,,,,,,,,
,-5.0869,-81.385499,,,,,,,,,,,,,,,,,,
,-5.0997,-81.3854,,,,,,,,,,,,,,,,,,
,-5.1116,-81.387099,,,,,,,,,,,,,,,,,,
,-5.1231,-81.3883,,,,,,,,,,,,,,,,,,
,-5.129,-81.3885,,,,,,,,,,,,,,,,,,
,-5.1348,-81.3883,,,,,,,,,,,,,,,,,,
,-5.1404,-81.3879,,,,,,,,,,,,,,,,,,
,-5.1459,-81.387299,,,,,,,,,,,,,,,,,,
,-5.1513,-81.3877,,,,,,,,,,,,,,,,,,
,-5.1567,-81.388199,,,,,,,,,,,,,,,,,,
,-5.1581,-81.389099,,,,,,,,,,,,,,,,,,
,-5.1532,-81.389299,,,,,,,,,,,,,,,,,,
,-5.1505,-81.3883,,,,,,,,,,,,,,,,,,
,-5.1463,-81.387999,,,,,,,,,,,,,,,,,,
,-5.1433,-81.3883,,,,,,,,,,,,,,,,,,
,-5.1405,-81.3885,,,,,,,,,,,,,,,,,,
,-5.1377,-81.3888,,,,,,,,,,,,,,,,,,
,-5.1345,-81.389099,,,,,,,,,,,,,,,,,,
,-5.1272,-81.3711,,,,,,,,,,,,,,,,,,
,-5.1173,-81.295,,,,,,,,,,,,,,,,,,
,-5.0626,-81.381199,,,,,,,,,,,,,,,,,,
,-5.0692,-81.3827,,,,,,,,,,,,,,,,,,
,-5.0885,-81.3858,,,,,,,,,,,,,,,,,,
,-5.095,-81.3867,,,,,,,,,,,,,,,,,,
,-5.108,-81.3876,,,,,,,,,,,,,,,,,,
,-5.1144,-81.387999,,,,,,,,,,,,,,,,,,
,-5.1208,-81.388199,,,,,,,,,,,,,,,,,,
,-5.1273,-81.3878,,,,,,,,,,,,,,,,,,
,-5.138,-81.3879,,,,,,,,,,,,,,,,,,
,-5.1337,-81.3872,,,,,,,,,,,,,,,,,,
,-5.132,-81.389099,,,,,,,,,,,,,,,,,,
,-5.1299,-81.3908,,,,,,,,,,,,,,,,,,
,-5.1294,-81.3917,,,,,,,,,,,,,,,,,,
,-5.1284,-81.392999,,,,,,,,,,,,,,,,,,
,-5.1592,-81.4023,,,,,,,,,,,,,,,,,,
,-5.1656,-81.402699,,,,,,,,,,,,,,,,,,
,-5.1721,-81.403,,,,,,,,,,,,,,,,,,
,-5.1784,-81.402899,,,,,,,,,,,,,,,,,,
,-5.1847,-81.4031,,,,,,,,,,,,,,,,,,
,-5.1909,-81.402499,,,,,,,,,,,,,,,,,,
,-5.1973,-81.4024,,,,,,,,,,,,,,,,,,
,-5.2036,-81.401999,,,,,,,,,,,,,,,,,,
,-5.2101,-81.4022,,,,,,,,,,,,,,,,,,
,-5.2165,-81.402699,,,,,,,,,,,,,,,,,,
,-5.221,-81.403399,,,,,,,,,,,,,,,,,,
,-5.2167,-81.4021,,,,,,,,,,,,,,,,,,
,-5.2156,-81.404,,,,,,,,,,,,,,,,,,
,-5.2159,-81.406799,,,,,,,,,,,,,,,,,,
,-5.2148,-81.4085,,,,,,,,,,,,,,,,,,
,-5.247,-81.403399,,,,,,,,,,,,,,,,,,
,-5.235,-81.4033,,,,,,,,,,,,,,,,,,
,-5.2279,-81.403399,,,,,,,,,,,,,,,,,,
