time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-4.0082,-81.1322,,,,,,,,,,,,,,,,,,
,-3.9851,-81.1147,,,,,,,,,,,,,,,,,,
,-3.9861,-81.1168,,,,,,,,,,,,,,,,,,
,-3.9845,-81.1188,,,,,,,,,,,,,,,,,,
,-3.9741,-81.118299,,,,,,,,,,,,,,,,,,
,-3.9675,-81.1177,,,,,,,,,,,,,,,,,,
,-3.9612,-81.115099,,,,,,,,,,,,,,,,,,
,-3.9554,-81.1121,,,,,,,,,,,,,,,,,,
,-3.9487,-81.110799,,,,,,,,,,,,,,,,,,
,-3.942,-81.109699,,,,,,,,,,,,,,,,,,
,-3.9357,-81.107899,,,,,,,,,,,,,,,,,,
,-3.9292,-81.1064,,,,,,,,,,,,,,,,,,
,-3.9225,-81.1051,,,,,,,,,,,,,,,,,,
,-3.9161,-81.102399,,,,,,,,,,,,,,,,,,
,-3.9094,-81.100199,,,,,,,,,,,,,,,,,,
,-3.9031,-81.097199,,,,,,,,,,,,,,,,,,
,-3.8968,-81.0941,,,,,,,,,,,,,,,,,,
,-3.8908,-81.091,,,,,,,,,,,,,,,,,,
,-3.8847,-81.0881,,,,,,,,,,,,,,,,,,
,-3.8792,-81.0842,,,,,,,,,,,,,,,,,,
,-3.8732,-81.080899,,,,,,,,,,,,,,,,,,
,-3.8775,-81.084,,,,,,,,,,,,,,,,,,
,-3.8775,-81.0851,,,,,,,,,,,,,,,,,,
,-3.8597,-81.079799,,,,,,,,,,,,,,,,,,
,-3.8457,-81.076599,,,,,,,,,,,,,,,,,,
,-3.8407,-81.0715,,,,,,,,,,,,,,,,,,
,-3.8358,-81.066899,,,,,,,,,,,,,,,,,,
,-3.8312,-81.0623,,,,,,,,,,,,,,,,,,
,-3.8249,-81.06,,,,,,,,,,,,,,,,,,
,-3.8178,-81.062099,,,,,,,,,,,,,,,,,,
,-3.8069,-81.071399,,,,,,,,,,,,,,,,,,
,-3.8005,-81.072799,,,,,,,,,,,,,,,,,,
,-3.799,-81.0726,,,,,,,,,,,,,,,,,,
,-3.8034,-81.0717,,,,,,,,,,,,,,,,,,
,-3.8048,-81.0738,,,,,,,,,,,,,,,,,,
,-3.8001,-81.0382,,,,,,,,,,,,,,,,,,
,-3.7973,-81.0326,,,,,,,,,,,,,,,,,,
,-3.7948,-81.0265,,,,,,,,,,,,,,,,,,
,-3.7923,-81.0204,,,,,,,,,,,,,,,,,,
,-3.7891,-81.014999,,,,,,,,,,,,,,,,,,
,-3.7848,-81.0102,,,,,,,,,,,,,,,,,,
,-3.773,-81.005999,,,,,,,,,,,,,,,,,,
,-3.7665,-81.0075,,,,,,,,,,,,,,,,,,
,-3.7605,-81.0092,,,,,,,,,,,,,,,,,,
,-3.7544,-81.0095,,,,,,,,,,,,,,,,,,
,-3.7485,-81.0094,,,,,,,,,,,,,,,,,,
,-3.7426,-81.0083,,,,,,,,,,,,,,,,,,
