time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-3.8271,-80.9789,,,,,,,,,,,,,,,,,,
,-3.8216,-80.9755,,,,,,,,,,,,,,,,,,
,-3.8164,-80.971999,,,,,,,,,,,,,,,,,,
,-3.8108,-80.969299,,,,,,,,,,,,,,,,,,
,-3.8053,-80.966299,,,,,,,,,,,,,,,,,,
,-3.8,-80.9631,,,,,,,,,,,,,,,,,,
,-3.7945,-80.960199,,,,,,,,,,,,,,,,,,
,-3.7889,-80.9576,,,,,,,,,,,,,,,,,,
,-3.783,-80.9562,,,,,,,,,,,,,,,,,,
,-3.7769,-80.954799,,,,,,,,,,,,,,,,,,
,-3.7743,-80.9545,,,,,,,,,,,,,,,,,,
,-3.7759,-80.9553,,,,,,,,,,,,,,,,,,
,-3.7738,-80.9556,,,,,,,,,,,,,,,,,,
,-3.7725,-80.955699,,,,,,,,,,,,,,,,,,
,-3.7455,-80.983499,,,,,,,,,,,,,,,,,,
,-3.7539,-80.9913,,,,,,,,,,,,,,,,,,
,-3.7578,-80.995099,,,,,,,,,,,,,,,,,,
,-3.7653,-81.0024,,,,,,,,,,,,,,,,,,
,-3.7694,-81.005699,,,,,,,,,,,,,,,,,,
,-3.7705,-81.0065,,,,,,,,,,,,,,,,,,
,-3.7685,-81.003699,,,,,,,,,,,,,,,,,,
,-3.7665,-81.004,,,,,,,,,,,,,,,,,,
,-3.764,-81.005299,,,,,,,,,,,,,,,,,,
,-3.7478,-80.9963,,,,,,,,,,,,,,,,,,
,-3.7426,-80.992,,,,,,,,,,,,,,,,,,
,-3.7381,-80.9871,,,,,,,,,,,,,,,,,,
,-3.7333,-80.9825,,,,,,,,,,,,,,,,,,
,-3.7273,-80.9791,,,,,,,,,,,,,,,,,,
,-3.7212,-80.976,,,,,,,,,,,,,,,,,,
,-3.7149,-80.973799,,,,,,,,,,,,,,,,,,
,-3.7087,-80.971099,,,,,,,,,,,,,,,,,,
,-3.7026,-80.968599,,,,,,,,,,,,,,,,,,
,-3.6961,-80.9667,,,,,,,,,,,,,,,,,,
,-3.6826,-80.9631,,,,,,,,,,,,,,,,,,
,-3.6761,-80.959999,,,,,,,,,,,,,,,,,,
,-3.6699,-80.9585,,,,,,,,,,,,,,,,,,
,-3.6724,-80.959499,,,,,,,,,,,,,,,,,,
,-3.6739,-80.9597,,,,,,,,,,,,,,,,,,
,-3.6712,-80.957299,,,,,,,,,,,,,,,,,,
,-3.653,-80.9554,,,,,,,,,,,,,,,,,,
,-3.6385,-80.953199,,,,,,,,,,,,,,,,,,
,-3.6316,-80.952299,,,,,,,,,,,,,,,,,,
,-3.6249,-80.951399,,,,,,,,,,,,,,,,,,
,-3.6182,-80.9503,,,,,,,,,,,,,,,,,,
,-3.6115,-80.949099,,,,,,,,,,,,,,,,,,
,-3.6048,-80.9479,,,,,,,,,,,,,,,,,,
,-3.5981,-80.9465,,,,,,,,,,,,,,,,,,
,-3.5913,-80.9458,,,,,,,,,,,,,,,,,,
,-3.5848,-80.944799,,,,,,,,,,,,,,,,,,
,-3.5799,-80.9431,,,,,,,,,,,,,,,,,,
,-3.582,-80.944099,,,,,,,,,,,,,,,,,,
,-3.5832,-80.9445,,,,,,,,,,,,,,,,,,
,-3.5804,-80.943899,,,,,,,,,,,,,,,,,,
,-3.578,-80.942999,,,,,,,,,,,,,,,,,,
,-3.5755,-80.9422,,,,,,,,,,,,,,,,,,
,-3.5732,-80.941399,,,,,,,,,,,,,,,,,,
,-3.5904,-80.9469,,,,,,,,,,,,,,,,,,
,-3.5967,-80.9469,,,,,,,,,,,,,,,,,,
,-3.6028,-80.9485,,,,,,,,,,,,,,,,,,
,-3.609,-80.9488,,,,,,,,,,,,,,,,,,
,-3.6214,-80.9506,,,,,,,,,,,,,,,,,,
,-3.6275,-80.951199,,,,,,,,,,,,,,,,,,
,-3.6336,-80.951799,,,,,,,,,,,,,,,,,,
,-3.6455,-80.9542,,,,,,,,,,,,,,,,,,
,-3.6561,-80.960399,,,,,,,,,,,,,,,,,,
,-3.6536,-80.9608,,,,,,,,,,,,,,,,,,
,-3.6509,-80.9605,,,,,,,,,,,,,,,,,,
,-3.649,-80.9588,,,,,,,,,,,,,,,,,,
,-3.646,-80.9581,,,,,,,,,,,,,,,,,,
,-3.6441,-80.9585,,,,,,,,,,,,,,,,,,
,-3.8172,-81.0204,,,,,,,,,,,,,,,,,,
,-3.8037,-81.011599,,,,,,,,,,,,,,,,,,
,-3.7989,-81.007799,,,,,,,,,,,,,,,,,,
,-3.794,-81.0043,,,,,,,,,,,,,,,,,,
,-3.789,-81.0006,,,,,,,,,,,,,,,,,,
,-3.7835,-80.9973,,,,,,,,,,,,,,,,,,
,-3.7785,-80.994399,,,,,,,,,,,,,,,,,,
,-3.7736,-80.9909,,,,,,,,,,,,,,,,,,
,-3.7691,-80.9871,,,,,,,,,,,,,,,,,,
,-3.7635,-80.9848,,,,,,,,,,,,,,,,,,
,-3.7581,-80.982599,,,,,,,,,,,,,,,,,,
,-3.752,-80.9814,,,,,,,,,,,,,,,,,,
,-3.746,-80.98,,,,,,,,,,,,,,,,,,
,-3.7405,-80.9777,,,,,,,,,,,,,,,,,,
,-3.7351,-80.9751,,,,,,,,,,,,,,,,,,
,-3.7297,-80.972699,,,,,,,,,,,,,,,,,,
,-3.7276,-80.9723,,,,,,,,,,,,,,,,,,
,-3.7312,-80.974699,,,,,,,,,,,,,,,,,,
,-3.7322,-80.976499,,,,,,,,,,,,,,,,,,
,-3.7319,-80.9791,,,,,,,,,,,,,,,,,,
,-3.7321,-80.980399,,,,,,,,,,,,,,,,,,
,-3.7162,-80.965899,,,,,,,,,,,,,,,,,,
,-3.7101,-80.966799,,,,,,,,,,,,,,,,,,
,-3.7043,-80.9656,,,,,,,,,,,,,,,,,,
,-3.6986,-80.9639,,,,,,,,,,,,,,,,,,
,-3.6928,-80.9635,,,,,,,,,,,,,,,,,,
,-3.6873,-80.9621,,,,,,,,,,,,,,,,,,
,-3.6818,-80.9603,,,,,,,,,,,,,,,,,,
,-3.6759,-80.9601,,,,,,,,,,,,,,,,,,
,-3.6704,-80.9581,,,,,,,,,,,,,,,,,,
,-3.6645,-80.9576,,,,,,,,,,,,,,,,,,
,-3.6585,-80.9578,,,,,,,,,,,,,,,,,,
,-3.6528,-80.956799,,,,,,,,,,,,,,,,,,
,-3.6494,-80.957299,,,,,,,,,,,,,,,,,,
,-3.6516,-80.957699,,,,,,,,,,,,,,,,,,
,-3.6558,-80.959,,,,,,,,,,,,,,,,,,
,-3.6581,-80.961099,,,,,,,,,,,,,,,,,,
,-3.6658,-80.9499,,,,,,,,,,,,,,,,,,
,-3.6497,-80.9474,,,,,,,,,,,,,,,,,,
,-3.6435,-80.947799,,,,,,,,,,,,,,,,,,
,-3.6373,-80.947,,,,,,,,,,,,,,,,,,
,-3.6314,-80.9454,,,,,,,,,,,,,,,,,,
,-3.6254,-80.9449,,,,,,,,,,,,,,,,,,
,-3.6192,-80.9451,,,,,,,,,,,,,,,,,,
,-3.613,-80.944399,,,,,,,,,,,,,,,,,,
,-3.6069,-80.9434,,,,,,,,,,,,,,,,,,
,-3.6008,-80.9436,,,,,,,,,,,,,,,,,,
,-3.5888,-80.946199,,,,,,,,,,,,,,,,,,
,-3.5826,-80.944799,,,,,,,,,,,,,,,,,,
,-3.5764,-80.9443,,,,,,,,,,,,,,,,,,
,-3.5793,-80.9451,,,,,,,,,,,,,,,,,,
,-3.5819,-80.945499,,,,,,,,,,,,,,,,,,
,-3.5818,-80.9477,,,,,,,,,,,,,,,,,,
,-3.5934,-80.945699,,,,,,,,,,,,,,,,,,
,-3.6064,-80.9468,,,,,,,,,,,,,,,,,,
,-3.6129,-80.947099,,,,,,,,,,,,,,,,,,
,-3.6193,-80.947499,,,,,,,,,,,,,,,,,,
,-3.6254,-80.948899,,,,,,,,,,,,,,,,,,
