time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-3.801806,-80.959167,,,,,,,,,,,,,,,,,,
,-3.801806,-80.958889,,,,,,,,,,,,,,,,,,
,-3.801806,-80.959167,,,,,,,,,,,,,,,,,,
,-3.801806,-80.958333,,,,,,,,,,,,,,,,,,
,-3.801806,-80.958889,,,,,,,,,,,,,,,,,,
,-3.801528,-80.959167,,,,,,,,,,,,,,,,,,
,-3.800694,-80.958889,,,,,,,,,,,,,,,,,,
,-3.800139,-80.958889,,,,,,,,,,,,,,,,,,
,-3.800417,-80.959444,,,,,,,,,,,,,,,,,,
,-3.800972,-80.959722,,,,,,,,,,,,,,,,,,
,-3.80125,-80.959167,,,,,,,,,,,,,,,,,,
,-3.800417,-80.959167,,,,,,,,,,,,,,,,,,
,-3.800417,-80.959444,,,,,,,,,,,,,,,,,,
,-3.80125,-80.959722,,,,,,,,,,,,,,,,,,
,-3.801806,-80.959444,,,,,,,,,,,,,,,,,,
,-3.801806,-80.959167,,,,,,,,,,,,,,,,,,
,-3.801806,-80.959167,,,,,,,,,,,,,,,,,,
,-3.801806,-80.959444,,,,,,,,,,,,,,,,,,
,-3.801806,-80.959444,,,,,,,,,,,,,,,,,,
,-3.801806,-80.959444,,,,,,,,,,,,,,,,,,
,-3.801806,-80.959167,,,,,,,,,,,,,,,,,,
,-3.801806,-80.959167,,,,,,,,,,,,,,,,,,
,-3.801528,-80.959444,,,,,,,,,,,,,,,,,,
,-3.801528,-80.959444,,,,,,,,,,,,,,,,,,
,-3.801528,-80.959444,,,,,,,,,,,,,,,,,,
,-3.801528,-80.959444,,,,,,,,,,,,,,,,,,
,-3.801528,-80.959722,,,,,,,,,,,,,,,,,,
,-3.801528,-80.959444,,,,,,,,,,,,,,,,,,
,-3.801528,-80.959444,,,,,,,,,,,,,,,,,,
,-3.801806,-80.959167,,,,,,,,,,,,,,,,,,
,-3.801806,-80.959167,,,,,,,,,,,,,,,,,,
,-3.801528,-80.959444,,,,,,,,,,,,,,,,,,
,-3.801528,-80.959722,,,,,,,,,,,,,,,,,,
,-3.811806,-80.964444,,,,,,,,,,,,,,,,,,
,-3.817917,-80.9675,,,,,,,,,,,,,,,,,,
,-3.823194,-80.971667,,,,,,,,,,,,,,,,,,
,-3.829306,-80.975,,,,,,,,,,,,,,,,,,
,-3.834861,-80.979722,,,,,,,,,,,,,,,,,,
,-3.839861,-80.984722,,,,,,,,,,,,,,,,,,
,-3.844583,-80.989722,,,,,,,,,,,,,,,,,,
,-3.849583,-80.995,,,,,,,,,,,,,,,,,,
,-3.854861,-80.999722,,,,,,,,,,,,,,,,,,
,-3.860139,-81.004444,,,,,,,,,,,,,,,,,,
,-3.864306,-81.008889,,,,,,,,,,,,,,,,,,
,-3.863194,-81.009444,,,,,,,,,,,,,,,,,,
,-3.862917,-81.01,,,,,,,,,,,,,,,,,,
,-3.85625,-81.004722,,,,,,,,,,,,,,,,,,
,-3.850139,-81.002222,,,,,,,,,,,,,,,,,,
,-3.845139,-80.998333,,,,,,,,,,,,,,,,,,
,-3.839861,-80.994444,,,,,,,,,,,,,,,,,,
,-3.834583,-80.990833,,,,,,,,,,,,,,,,,,
,-3.829028,-80.987778,,,,,,,,,,,,,,,,,,
,-3.824306,-80.983611,,,,,,,,,,,,,,,,,,
,-3.81875,-80.980556,,,,,,,,,,,,,,,,,,
,-3.812917,-80.977778,,,,,,,,,,,,,,,,,,
,-3.807639,-80.974722,,,,,,,,,,,,,,,,,,
,-3.801528,-80.971944,,,,,,,,,,,,,,,,,,
,-3.805139,-80.975833,,,,,,,,,,,,,,,,,,
,-3.797639,-80.943333,,,,,,,,,,,,,,,,,,
,-3.792083,-80.939722,,,,,,,,,,,,,,,,,,
,-3.785972,-80.9375,,,,,,,,,,,,,,,,,,
,-3.779583,-80.936667,,,,,,,,,,,,,,,,,,
,-3.773194,-80.934444,,,,,,,,,,,,,,,,,,
,-3.766528,-80.935,,,,,,,,,,,,,,,,,,
,-3.766806,-80.936667,,,,,,,,,,,,,,,,,,
,-3.761528,-80.93,,,,,,,,,,,,,,,,,,
,-3.768194,-80.931667,,,,,,,,,,,,,,,,,,
,-3.774861,-80.9325,,,,,,,,,,,,,,,,,,
,-3.781806,-80.933889,,,,,,,,,,,,,,,,,,
,-3.788472,-80.934722,,,,,,,,,,,,,,,,,,
,-3.794306,-80.936944,,,,,,,,,,,,,,,,,,
,-3.791528,-80.936111,,,,,,,,,,,,,,,,,,
,-3.791528,-80.936111,,,,,,,,,,,,,,,,,,
,-3.79125,-80.936389,,,,,,,,,,,,,,,,,,
,-3.79125,-80.936389,,,,,,,,,,,,,,,,,,
,-3.79125,-80.936389,,,,,,,,,,,,,,,,,,
,-3.793194,-80.941667,,,,,,,,,,,,,,,,,,
,-3.792361,-80.938889,,,,,,,,,,,,,,,,,,
,-3.799583,-80.940278,,,,,,,,,,,,,,,,,,
,-3.80625,-80.943056,,,,,,,,,,,,,,,,,,
