time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-4.7968,-81.441199,,,,,,,,,,,,,,,,,,
,-4.7687,-81.4429,,,,,,,,,,,,,,,,,,
,-4.7614,-81.4429,,,,,,,,,,,,,,,,,,
,-4.754,-81.4416,,,,,,,,,,,,,,,,,,
,-4.7462,-81.441199,,,,,,,,,,,,,,,,,,
,-4.7385,-81.4417,,,,,,,,,,,,,,,,,,
,-4.7311,-81.441899,,,,,,,,,,,,,,,,,,
,-4.7238,-81.4415,,,,,,,,,,,,,,,,,,
,-4.7097,-81.4377,,,,,,,,,,,,,,,,,,
,-4.7022,-81.434199,,,,,,,,,,,,,,,,,,
,-4.7055,-81.435499,,,,,,,,,,,,,,,,,,
,-4.7043,-81.4377,,,,,,,,,,,,,,,,,,
,-4.7009,-81.440699,,,,,,,,,,,,,,,,,,
,-4.7851,-81.4141,,,,,,,,,,,,,,,,,,
,-4.7936,-81.4119,,,,,,,,,,,,,,,,,,
,-4.7993,-81.407199,,,,,,,,,,,,,,,,,,
,-4.8047,-81.4028,,,,,,,,,,,,,,,,,,
,-4.8109,-81.399299,,,,,,,,,,,,,,,,,,
,-4.8178,-81.3971,,,,,,,,,,,,,,,,,,
,-4.8309,-81.395899,,,,,,,,,,,,,,,,,,
,-4.8275,-81.396799,,,,,,,,,,,,,,,,,,
,-4.8268,-81.400399,,,,,,,,,,,,,,,,,,
,-4.9691,-81.380499,,,,,,,,,,,,,,,,,,
,-4.9757,-81.377999,,,,,,,,,,,,,,,,,,
,-4.9825,-81.3766,,,,,,,,,,,,,,,,,,
,-4.9895,-81.377999,,,,,,,,,,,,,,,,,,
,-5.0026,-81.384099,,,,,,,,,,,,,,,,,,
,-5.0094,-81.386199,,,,,,,,,,,,,,,,,,
,-5.0235,-81.3863,,,,,,,,,,,,,,,,,,
,-5.03,-81.3847,,,,,,,,,,,,,,,,,,
,-5.0358,-81.3813,,,,,,,,,,,,,,,,,,
,-5.0352,-81.382,,,,,,,,,,,,,,,,,,
,-5.032,-81.3835,,,,,,,,,,,,,,,,,,
,-5.0281,-81.386199,,,,,,,,,,,,,,,,,,
,-5.0239,-81.388899,,,,,,,,,,,,,,,,,,
,-5.0368,-81.3779,,,,,,,,,,,,,,,,,,
,-5.0221,-81.3786,,,,,,,,,,,,,,,,,,
,-5.0003,-81.3741,,,,,,,,,,,,,,,,,,
,-4.9864,-81.3698,,,,,,,,,,,,,,,,,,
,-4.9553,-81.3801,,,,,,,,,,,,,,,,,,
,-4.9586,-81.3792,,,,,,,,,,,,,,,,,,
,-4.9567,-81.378899,,,,,,,,,,,,,,,,,,
