time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-5.361528,-81.235,,,,,,,,,,,,,,,,,,
,-5.368472,-81.234444,,,,,,,,,,,,,,,,,,
,-5.37375,-81.233611,,,,,,,,,,,,,,,,,,
,-5.37875,-81.232778,,,,,,,,,,,,,,,,,,
,-5.38375,-81.231389,,,,,,,,,,,,,,,,,,
,-5.389028,-81.230278,,,,,,,,,,,,,,,,,,
,-5.394306,-81.230278,,,,,,,,,,,,,,,,,,
,-5.399583,-81.23,,,,,,,,,,,,,,,,,,
,-5.404861,-81.23,,,,,,,,,,,,,,,,,,
,-5.409861,-81.23,,,,,,,,,,,,,,,,,,
,-5.414861,-81.229722,,,,,,,,,,,,,,,,,,
,-5.415139,-81.229722,,,,,,,,,,,,,,,,,,
,-5.413194,-81.233056,,,,,,,,,,,,,,,,,,
,-5.399306,-81.231389,,,,,,,,,,,,,,,,,,
,-5.405972,-81.228611,,,,,,,,,,,,,,,,,,
,-5.41125,-81.229167,,,,,,,,,,,,,,,,,,
,-5.41625,-81.229722,,,,,,,,,,,,,,,,,,
,-5.421528,-81.229722,,,,,,,,,,,,,,,,,,
,-5.426528,-81.229722,,,,,,,,,,,,,,,,,,
,-5.431528,-81.228889,,,,,,,,,,,,,,,,,,
,-5.430417,-81.228611,,,,,,,,,,,,,,,,,,
,-5.428472,-81.231944,,,,,,,,,,,,,,,,,,
,-5.426806,-81.235833,,,,,,,,,,,,,,,,,,
,-5.412917,-81.231667,,,,,,,,,,,,,,,,,,
,-5.407361,-81.232222,,,,,,,,,,,,,,,,,,
,-5.401806,-81.233056,,,,,,,,,,,,,,,,,,
,-5.39625,-81.234167,,,,,,,,,,,,,,,,,,
,-5.390972,-81.234444,,,,,,,,,,,,,,,,,,
,-5.385694,-81.234167,,,,,,,,,,,,,,,,,,
,-5.380694,-81.234444,,,,,,,,,,,,,,,,,,
,-5.375694,-81.234722,,,,,,,,,,,,,,,,,,
,-5.370417,-81.236667,,,,,,,,,,,,,,,,,,
,-5.365694,-81.239722,,,,,,,,,,,,,,,,,,
,-5.361806,-81.243611,,,,,,,,,,,,,,,,,,
,-5.363472,-81.243056,,,,,,,,,,,,,,,,,,
,-5.357083,-81.290278,,,,,,,,,,,,,,,,,,
,-5.351806,-81.291667,,,,,,,,,,,,,,,,,,
,-5.346528,-81.293333,,,,,,,,,,,,,,,,,,
,-5.341528,-81.295278,,,,,,,,,,,,,,,,,,
,-5.336806,-81.297222,,,,,,,,,,,,,,,,,,
,-5.331806,-81.299167,,,,,,,,,,,,,,,,,,
,-5.326806,-81.300556,,,,,,,,,,,,,,,,,,
,-5.321806,-81.301667,,,,,,,,,,,,,,,,,,
,-5.316528,-81.302778,,,,,,,,,,,,,,,,,,
,-5.315417,-81.304167,,,,,,,,,,,,,,,,,,
,-5.315417,-81.305278,,,,,,,,,,,,,,,,,,
,-5.312917,-81.308333,,,,,,,,,,,,,,,,,,
,-5.310139,-81.310556,,,,,,,,,,,,,,,,,,
,-5.306528,-81.306111,,,,,,,,,,,,,,,,,,
,-5.314306,-81.304167,,,,,,,,,,,,,,,,,,
,-5.319583,-81.303611,,,,,,,,,,,,,,,,,,
,-5.324861,-81.3025,,,,,,,,,,,,,,,,,,
,-5.330139,-81.301667,,,,,,,,,,,,,,,,,,
,-5.335139,-81.301111,,,,,,,,,,,,,,,,,,
,-5.340139,-81.300278,,,,,,,,,,,,,,,,,,
,-5.345139,-81.299444,,,,,,,,,,,,,,,,,,
,-5.350139,-81.298333,,,,,,,,,,,,,,,,,,
,-5.355139,-81.298056,,,,,,,,,,,,,,,,,,
,-5.358472,-81.298333,,,,,,,,,,,,,,,,,,
,-5.35375,-81.299722,,,,,,,,,,,,,,,,,,
,-5.352083,-81.301389,,,,,,,,,,,,,,,,,,
,-5.349861,-81.301111,,,,,,,,,,,,,,,,,,
,-5.34875,-81.303056,,,,,,,,,,,,,,,,,,
,-5.349028,-81.304167,,,,,,,,,,,,,,,,,,
,-5.349583,-81.304722,,,,,,,,,,,,,,,,,,
,-5.350139,-81.305278,,,,,,,,,,,,,,,,,,
,-5.350417,-81.305556,,,,,,,,,,,,,,,,,,
,-5.350417,-81.305556,,,,,,,,,,,,,,,,,,
,-5.350417,-81.305556,,,,,,,,,,,,,,,,,,
,-5.350694,-81.305833,,,,,,,,,,,,,,,,,,
,-5.350972,-81.305833,,,,,,,,,,,,,,,,,,
,-5.350972,-81.305833,,,,,,,,,,,,,,,,,,
,-5.350972,-81.305833,,,,,,,,,,,,,,,,,,
,-5.350972,-81.305833,,,,,,,,,,,,,,,,,,
,-5.350972,-81.305833,,,,,,,,,,,,,,,,,,
,-5.35125,-81.305833,,,,,,,,,,,,,,,,,,
,-5.35125,-81.305833,,,,,,,,,,,,,,,,,,
,-5.35125,-81.305833,,,,,,,,,,,,,,,,,,
,-5.35125,-81.305833,,,,,,,,,,,,,,,,,,
,-5.35125,-81.305833,,,,,,,,,,,,,,,,,,
,-5.35125,-81.305833,,,,,,,,,,,,,,,,,,
,-5.350972,-81.305833,,,,,,,,,,,,,,,,,,
,-5.350972,-81.305833,,,,,,,,,,,,,,,,,,
,-5.350972,-81.305833,,,,,,,,,,,,,,,,,,
,-5.35125,-81.305833,,,,,,,,,,,,,,,,,,
,-5.35125,-81.305833,,,,,,,,,,,,,,,,,,
,-5.351528,-81.305833,,,,,,,,,,,,,,,,,,
,-5.35125,-81.305833,,,,,,,,,,,,,,,,,,
,-5.351528,-81.306111,,,,,,,,,,,,,,,,,,
,-5.351528,-81.306111,,,,,,,,,,,,,,,,,,
,-5.351528,-81.306111,,,,,,,,,,,,,,,,,,
,-5.351806,-81.306111,,,,,,,,,,,,,,,,,,
,-5.351806,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352083,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352083,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352083,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352083,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352083,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352083,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352083,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352083,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352083,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352083,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352361,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352361,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352361,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352361,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352361,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352361,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352361,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352639,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352639,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352639,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352639,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352639,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352639,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352639,-81.305833,,,,,,,,,,,,,,,,,,
,-5.352639,-81.305833,,,,,,,,,,,,,,,,,,
,-5.352917,-81.306111,,,,,,,,,,,,,,,,,,
,-5.352361,-81.290556,,,,,,,,,,,,,,,,,,
,-5.347639,-81.293333,,,,,,,,,,,,,,,,,,
,-5.34375,-81.296944,,,,,,,,,,,,,,,,,,
,-5.339583,-81.300556,,,,,,,,,,,,,,,,,,
,-5.335139,-81.303889,,,,,,,,,,,,,,,,,,
,-5.330694,-81.307222,,,,,,,,,,,,,,,,,,
