time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-5.1063,-85.3009,,,,,,,,,,,,,,,,,,
,-4.97254,-86.28334,,,,,,,,,,,,,,,,,,
,-4.94207,-86.04668,,,,,,,,,,,,,,,,,,
,-5.18086,-87.33699,,,,,,,,,,,,,,,,,,
,-4.80929,-85.74232,,,,,,,,,,,,,,,,,,
,-5.26107,-89.33578,,,,,,,,,,,,,,,,,,
,-5.02191,-86.13496,,,,,,,,,,,,,,,,,,
,-5.17286,-85.95693,,,,,,,,,,,,,,,,,,
,-5.19218,-85.67222,,,,,,,,,,,,,,,,,,
,-4.6057,-85.88603,,,,,,,,,,,,,,,,,,
,-5.01103,-85.45887,,,,,,,,,,,,,,,,,,
,-4.91315,-85.85276,,,,,,,,,,,,,,,,,,
,-5.16682,-85.6883,,,,,,,,,,,,,,,,,,
,-5.08343,-85.96792,,,,,,,,,,,,,,,,,,
,-5.19203,-86.11849,,,,,,,,,,,,,,,,,,
,-4.46675,-85.95439,,,,,,,,,,,,,,,,,,
,-4.47016,-85.90199,,,,,,,,,,,,,,,,,,
,-5.00605,-85.87823,,,,,,,,,,,,,,,,,,
,-5.35486,-87.62856,,,,,,,,,,,,,,,,,,
,-5.00803,-86.31797,,,,,,,,,,,,,,,,,,
,-5.13499,-85.33856,,,,,,,,,,,,,,,,,,
,-4.94418,-85.95533,,,,,,,,,,,,,,,,,,
,-4.9741,-86.31281,,,,,,,,,,,,,,,,,,
,-4.88828,-85.95431,,,,,,,,,,,,,,,,,,
,-4.88262,-86.19822,,,,,,,,,,,,,,,,,,
,-4.82341,-86.16073,,,,,,,,,,,,,,,,,,
,-5.8647,-87.07758,,,,,,,,,,,,,,,,,,
,-13.86344,-94.79776,,,,,,,,,,,,,,,,,,
,-4.46547,-85.81998,,,,,,,,,,,,,,,,,,
,-5.21157,-85.31299,,,,,,,,,,,,,,,,,,
,-4.92201,-86.29592,,,,,,,,,,,,,,,,,,
,-5.79223,-86.01361,,,,,,,,,,,,,,,,,,
,-6.04422,-87.0707,,,,,,,,,,,,,,,,,,
,-4.97031,-85.88272,,,,,,,,,,,,,,,,,,
,-4.60168,-86.07049,,,,,,,,,,,,,,,,,,
,-4.47787,-86.05429,,,,,,,,,,,,,,,,,,
,-4.71513,-86.05086,,,,,,,,,,,,,,,,,,
,-4.91315,-86.01755,,,,,,,,,,,,,,,,,,
,-4.53919,-86.02238,,,,,,,,,,,,,,,,,,
,-5.04709,-86.81356,,,,,,,,,,,,,,,,,,
