time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-4.9309,-81.2151,,,,,,,,,,,,,,,,,,
,-4.9311,-81.214999,,,,,,,,,,,,,,,,,,
,-4.9314,-81.214999,,,,,,,,,,,,,,,,,,
,-4.9319,-81.2096,,,,,,,,,,,,,,,,,,
,-4.9319,-81.209299,,,,,,,,,,,,,,,,,,
,-4.932,-81.209,,,,,,,,,,,,,,,,,,
,-4.9318,-81.2089,,,,,,,,,,,,,,,,,,
,-4.9318,-81.208599,,,,,,,,,,,,,,,,,,
,-4.932,-81.2087,,,,,,,,,,,,,,,,,,
,-4.9331,-81.2083,,,,,,,,,,,,,,,,,,
,-4.9712,-81.2008,,,,,,,,,,,,,,,,,,
,-4.9706,-81.200499,,,,,,,,,,,,,,,,,,
,-4.9701,-81.2002,,,,,,,,,,,,,,,,,,
,-4.9696,-81.199799,,,,,,,,,,,,,,,,,,
,-4.969,-81.1993,,,,,,,,,,,,,,,,,,
,-4.9684,-81.198899,,,,,,,,,,,,,,,,,,
,-4.9679,-81.1986,,,,,,,,,,,,,,,,,,
,-4.9674,-81.1983,,,,,,,,,,,,,,,,,,
,-4.9674,-81.1985,,,,,,,,,,,,,,,,,,
,-4.9676,-81.1985,,,,,,,,,,,,,,,,,,
,-4.9679,-81.1985,,,,,,,,,,,,,,,,,,
,-4.9681,-81.1986,,,,,,,,,,,,,,,,,,
,-4.9684,-81.1988,,,,,,,,,,,,,,,,,,
,-4.9689,-81.199099,,,,,,,,,,,,,,,,,,
,-4.9694,-81.1999,,,,,,,,,,,,,,,,,,
,-4.9702,-81.200499,,,,,,,,,,,,,,,,,,
,-4.9708,-81.2011,,,,,,,,,,,,,,,,,,
,-4.9641,-81.1839,,,,,,,,,,,,,,,,,,
,-4.9646,-81.1839,,,,,,,,,,,,,,,,,,
,-4.965,-81.1839,,,,,,,,,,,,,,,,,,
,-4.9654,-81.1838,,,,,,,,,,,,,,,,,,
,-4.9661,-81.181199,,,,,,,,,,,,,,,,,,
,-4.9665,-81.1813,,,,,,,,,,,,,,,,,,
,-4.967,-81.1813,,,,,,,,,,,,,,,,,,
,-4.9675,-81.1815,,,,,,,,,,,,,,,,,,
,-4.968,-81.1815,,,,,,,,,,,,,,,,,,
