time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-5.026528,-81.179444,,,,,,,,,,,,,,,,,,
,-5.027917,-81.18,,,,,,,,,,,,,,,,,,
,-5.02875,-81.180278,,,,,,,,,,,,,,,,,,
,-5.030139,-81.180556,,,,,,,,,,,,,,,,,,
,-5.031528,-81.180556,,,,,,,,,,,,,,,,,,
,-5.029861,-81.160556,,,,,,,,,,,,,,,,,,
,-5.030139,-81.16,,,,,,,,,,,,,,,,,,
,-5.030417,-81.159444,,,,,,,,,,,,,,,,,,
,-5.030694,-81.158889,,,,,,,,,,,,,,,,,,
,-5.030972,-81.158611,,,,,,,,,,,,,,,,,,
,-5.030972,-81.1575,,,,,,,,,,,,,,,,,,
,-5.248472,-81.216667,,,,,,,,,,,,,,,,,,
,-5.248194,-81.215556,,,,,,,,,,,,,,,,,,
,-5.247361,-81.215278,,,,,,,,,,,,,,,,,,
,-5.246806,-81.215,,,,,,,,,,,,,,,,,,
,-5.245972,-81.214722,,,,,,,,,,,,,,,,,,
,-5.244583,-81.214167,,,,,,,,,,,,,,,,,,
,-4.96375,-81.154444,,,,,,,,,,,,,,,,,,
,-4.965139,-81.154167,,,,,,,,,,,,,,,,,,
,-4.965694,-81.153889,,,,,,,,,,,,,,,,,,
,-4.965972,-81.153611,,,,,,,,,,,,,,,,,,
,-4.96625,-81.153333,,,,,,,,,,,,,,,,,,
,-5.024306,-81.174444,,,,,,,,,,,,,,,,,,
,-5.025694,-81.175,,,,,,,,,,,,,,,,,,
,-5.026806,-81.175556,,,,,,,,,,,,,,,,,,
,-5.027639,-81.175833,,,,,,,,,,,,,,,,,,
,-5.02875,-81.176111,,,,,,,,,,,,,,,,,,
,-5.029861,-81.176111,,,,,,,,,,,,,,,,,,
,-5.03625,-81.184722,,,,,,,,,,,,,,,,,,
,-5.037083,-81.183889,,,,,,,,,,,,,,,,,,
,-5.038194,-81.183889,,,,,,,,,,,,,,,,,,
,-5.039306,-81.183611,,,,,,,,,,,,,,,,,,
,-5.040694,-81.183611,,,,,,,,,,,,,,,,,,
,-5.020972,-81.143056,,,,,,,,,,,,,,,,,,
,-5.022083,-81.1425,,,,,,,,,,,,,,,,,,
,-5.023472,-81.1425,,,,,,,,,,,,,,,,,,
,-5.024583,-81.143333,,,,,,,,,,,,,,,,,,
,-5.025972,-81.143611,,,,,,,,,,,,,,,,,,
,-5.027361,-81.144167,,,,,,,,,,,,,,,,,,
,-5.244861,-81.218333,,,,,,,,,,,,,,,,,,
,-5.244306,-81.2175,,,,,,,,,,,,,,,,,,
,-5.244306,-81.216944,,,,,,,,,,,,,,,,,,
,-5.244028,-81.216389,,,,,,,,,,,,,,,,,,
,-5.243194,-81.216111,,,,,,,,,,,,,,,,,,
,-5.242361,-81.215833,,,,,,,,,,,,,,,,,,
,-5.02875,-81.155,,,,,,,,,,,,,,,,,,
,-5.029583,-81.154722,,,,,,,,,,,,,,,,,,
,-5.030139,-81.154444,,,,,,,,,,,,,,,,,,
,-5.030694,-81.154722,,,,,,,,,,,,,,,,,,
,-5.03125,-81.154444,,,,,,,,,,,,,,,,,,
,-5.03125,-81.154444,,,,,,,,,,,,,,,,,,
,-5.037639,-81.189167,,,,,,,,,,,,,,,,,,
,-5.038472,-81.188056,,,,,,,,,,,,,,,,,,
,-5.039583,-81.187778,,,,,,,,,,,,,,,,,,
,-5.040417,-81.187778,,,,,,,,,,,,,,,,,,
,-5.041528,-81.187778,,,,,,,,,,,,,,,,,,
,-5.041806,-81.187778,,,,,,,,,,,,,,,,,,
,-5.250694,-81.218333,,,,,,,,,,,,,,,,,,
,-5.250139,-81.216667,,,,,,,,,,,,,,,,,,
,-5.249861,-81.215556,,,,,,,,,,,,,,,,,,
,-5.249306,-81.214167,,,,,,,,,,,,,,,,,,
